app_name,app_id,description,topics,category
Expense1,com.benoitletondor.easybudgetapp,let face budget apps complicate design look like come straight look clean easy use app manage money good news easybudget found need list easybudget manage multiple account account need probably get classify expense category nobody get time show chart statistic check balance second go life app simple seriously simple exactly expect budget management oh free,2,['FINANCE']
Expense2,luankevinferreira.expenses,utility application manage personal expense enable well control variable expense like eg market water electricity bill among others,2,['FINANCE']
Expense3,com.kvannli.simonkvannli.dailybudget,daily budget ensures always enough money thing need thing important daily budget let know much money spend easy use overly complicate statistic form fill easy understandable design daily budget app easily control daily spending base income expense create budget intimidate financial benefit huge daily budget easy ever get start follow budget also keep debt help work way debt currently debt take time set create budget one top financial tip financial advisor daily budget also provide save tip help achieve financial goal start enter regular income expense base income expense get daily amount show daily earnings every day daily amount automatically add current balance current balance show much money afford spend time keep track spending easily see within budget daily budget let see much money spent much afford spend every day statistic show spend money let see improve premium upgrade premium include follow ad widget make even easy keep track statistic save tip would love feedback help improve app please leave review send u email directly thank download daily budget,2,['FINANCE']
Expense4,com.blogspot.e_kanivets.moneytracker,want save money know money come app manage income expense two click take report two click follow feature available current version manage expense income create report period manage account different currency transfer money account manage exchange rate currency quick summary chart csv export import dropbox backup open source project open money tracker github developed support xorum io,2,['FINANCE']
Note2,com.moonpi.swiftnotes,note take app focus simplicity speed offer quick easy way stay organize capture thought reminder anything mind time anywhere extra unnecessary feature note feature easily create new note edit exist one colour code note stay organise find note lightning fast search keyword favour note always stay top quick access change font size individual note hide body sensitive note stay safe pry eye backup note external storage restore note need,1,['PRODUCTIVITY']
Note3,me.writeily,minimalist markdown editor android simply elegantly compose note markdown plain text organize folder save access file external storage restrict access pin lock,1,['PRODUCTIVITY']
Note4,chan.android.app.pocketnote,,1,['PRODUCTIVITY']
Shop1,pl.com.andrzejgrzyb.Shop,paper note pocket create shopping list smartphone always application allows create shopping list share family friend via text message e mail,1,['SHOPPING']
Shop2,br.com.activity,simple app manage shopping list create shopping list add produtcs want buy nevertheless keep record price paid purchase product contact vansuita jr gmail com buy coffee,1,['SHOPPING']
Shop3,privacyfriendlyShop.secuso.org.privacyfriendlyShop,privacy friendly shopping list allows create shopping list manage belongs privacy friendly apps group developed research group secuso technische universitt darmstadt information found secuso org pfa create shopping list manage add edit delete list item feature include prioritization list regard importance item setup deadline reminder reminder appear notification visualize shopping activity bar diagram add category store additional note product possibility add product picture photo access privacy friendly shopping list share list product text without requirement special system permission make privacy friendly shopping list different similar apps minimal permission privacy friendly shopping list use permission core function camera permission need take picture particular product permission deny android version high feature available feature disposition full control data save data statistic delete permanently click data life inside privacy friendly shopping list access outside share list product data without access phone contact advertisement privacy friendly shopping list completely relinquishes advertisement,1,['SHOPPING']
Shop4,org.openintents.shopping,oi shopping list powerful application make easy create manage checklist oi shopping list make easy add item list check item remove list application track separate price store use feature high level customization font size sort order list column list cleanup behavior set control user feature brought together crisp layout customizable variety theme source code free open source application available http code google com p openintents application ad free require internet permission complete list change list frequently ask question please visit http www openintents org help improve translation language launchpad http translation launchpad net openintents trunk feature add edit delete list create delete check item quickly easily variety theme customizable font size sort order keep track separate price store customizable list column international version io lista de cumprturi oi oi alveri listesi oi boodschappenlijst oi einkaufsliste oi lista zakupw oi lista de compras oi shopping list oi shopping list oi lista della spesa oi oi oi oi oi oi oi ol seznam nkup popis za kupovinu oi shopping list oi,1,['SHOPPING']
a11,acr.browser.lightning,lightning browser plus simple fast web browser focus design security efficiency u material design track give lot option protect privacy get way user built browser want something well contains free version unlimited open tab custom ad block source control choose default host file local host file remote host file ad block block ad core feature lightning browser meant improve speed security browsing experience design lightning interface carefully craft browse efficiently possible tab bookmark tucked neatly away side drawer swipe away allow maximum screen view minimal interference browser chrome dark mode light mode color mode night mode anyway whatever like mode speed utilize webkit render engine come built android device lightning ensure swift lightweight experience privacy use incognito mode browse without leave footprint download orbot turn tor proxy support mask identify location use startpage duckduckgo search engine disable set think leave risk whatever concern lightning try help feature full screen check adblock check invert render check search engine want check search suggestion bookmark history user agent reading mode whatever need lightning open source android open source lightning believe best software built community come together engineer best solution head repository github contribute translate permission permission internet need access internet browsing permission write external storage need download file backing data permission read external storage need download file restore data permission access fine location need site want location deny location access permission record audio utilized webrtc turn default permission camera utilized webrtc turn default talk twitter http twitter com restainoanthony fork github http github com anthonycr lightning browser,1,['COMMUNICATION']
a13,com.stoutner.privacybrowser.standard,way prevent data abuse prevent collect first place privacy browser two primary goal minimize data sent internet minimize data store device browser silently give website massive amount information allows track compromise privacy website ad network use technology like javascript cooky dom storage user agent many thing uniquely identify user track visit across web contrast privacy sensitive feature disabled default privacy browser one technology require website function correctly user may choose turn visit use domain set automatically turn certain feature enter specific website turn leave privacy browser currently u android built webview render web page work best late version webview instal see http www stoutner com privacy browser common set webview x series privacy browser switch fork version android webview call privacy webview allow advanced privacy feature warn android kitkat version x api ship old version openssl susceptible mitm man middle attack browsing website use outdated protocol cipher suite information issue available http www stoutner com kitkat security problem feature integrate easylist ad block tor orbot proxy support ssl certificate pin import export set bookmark,1,['COMMUNICATION']
a14,de.baumann.browser,simple browser base android webview base ninja intention provide simple light wight powerful browser nice look user interface nice extra feature full oreo support search site open link background websearch marked text context menu screenshots whole website build file browser open share delete file open link apps example youtube,1,['COMMUNICATION']
a15,org.mozilla.focus,browse like one watch new firefox focus automatically block wide range online tracker moment launch second leave easily erase history password cooky get follow thing like unwanted ad private browsing browser comprehensive easy use focus next level privacy free always always side back mozilla non profit fight right web automatic privacy block wide range common web tracker without set set easily era history password cooky tracker browse faster remove tracker ad web page may require less data load faster make mozilla believe everyone control life online fight since,1,['COMMUNICATION']
a21,com.rubenroy.minimaltodo,minimal todo light useful app allow add todos easily quickly follow material guideline completely,1,['PRODUCTIVITY']
a22,douzifly.list,help people quickly capture mind get reminder later right time include two clear beautiful material design theme make use experience well remote server use data kept device,1,['PRODUCTIVITY']
a23,org.secuso.privacyfriendlytodolist,privacy friendly list use keep outstanding task mind organize personal schedule application allows create list task individually manage list contains set task task deadline reminder time list subtasks set reminder time user inform notification possible display task calendar protect app secret pin sort prioritize task within list color indicate urgency task take deadline account feature privacy friendly list pin protection open set menu setup pin protection application pin need number digit ask every time start application start main view reminder set reminder task notify deadline approach set provide possibility enable notification sound widget addition app provide widget add device home screen widget present task belong chosen list click task checkbox lead main view privacy friendly list synchronize button update displayed task inside widget progress subtasks default progress chosen freely user create edit task list give opportunity automatically compute show progress task dependent subtasks therefore go set enable progress subtasks privacy friendly app differs application respect two aspect permission privacy friendly list use permission advertisement privacy friendly list completely relinquishes advertisement many free apps google play store dazzle annoy advertising also shortens battery life privacy friendly checker part privacy friendly apps group developed research group secuso technische universitt darmstadt information http secuso org pfa,1,['TOOLS']
a24,kdk.android.simplydo,simply simple shopping todo task list manager,1,['PRODUCTIVITY']
a25,com.woefe.Shop,manage shopping list type list list store simple text file use simple human readable syntax allows synchronize device use application syncthing nextcloud,1,['SHOPPING']
a31,com.contextlogic.geek,get trend product would pay local store get smartest deal headphone watch speaker phone upgrade car accessory electronics directly phone go directly manufacturer get best deal stuff want get keep sit shop smart take care rest,17,['SHOPPING']
a32,com.contextlogic.wish,get basket ready gift love one something special affordable thoughtful gift download away style expensive wish mobile shopping app let shop million high quality item wish affordable wish connects shopper directly million manufacturer shopper find affordable good middle man price low quality get mall buy confidence take security seriously process purchase securely join million user million people use wish shop affordable good skip shopping mall find low price wish review video photo read customer review view photo watch video purchase find best deal track track purchase customer support question order reach customer service easily app customer service responds quickly day return policy plus perfect day return policy save brand offer brand affordable price wish outlet find discount apple samsonite burberry coach michael kor ray ban fossil guess tommy hilfiger champion sperry day shipping get faster shipping wish express item wish express truck icon arrive door day save big spin blitz buy win save spin blitz buy win access extra discount earn reward collect point purchase redeem reward coupon category find discount trendy fashion shoe gadget kitchen tool home good kid item beauty jewelry watch accessory skip mall shop phone trendy woman fashion dress jacket bottom top sweater athleisure swimwear lingerie quality men fashion jacket sweater jean shirt button top workout wear underwear accessory hat sock scarf belt jewelry watch gym bag travel bag purse backpack electronics fitness tracker camera drone phone case battery pack headphone gadget beauty brush skincare perfume lipstick eyeshadow foundation shoe sneaker run shoe boot sandal heel home good kitchen tool cookware knife trendy home decor light sheet furniture kid clothes toy school supply baby gear sport exercise gear weight soccer basketball men workout clothes woman athleisure auto organizer cleaner phone charger wish w logo trademark contextlogic inc register u patent trademark office country right reserve,5,['SHOPPING']
a33,com.rainbowshops,rainbow shop fashion retailer location united state puerto rico u virgin island online rainbowshops com affordable clothing shoe accessory woman junior plus size kid everyday low price need wait sale size inclusive trendy clothing woman junior xl plus size x x everything need complete outfit affordable accessory trendy shoe size everyday free shipping order coupon code need free return store visit u daily new affordable clothing style add website every day love need help drop u line customerservice rainbowshops com meantime get shop remember show u style rainbowshops,5,['SHOPPING']
a34,com.etsy.android,etsy app let shop million one kind item straight phone tablet whether moment big small handmade good vintage good creative good custom goodsthere something everyone creative marketplace quite like etsy app purchase perfect gift friend family co worker even get little something etsy app incredibly easy explore delightful personalize unique item want browse curated collection handcraft jewelry vintage good closet customize furniture home everyday supply kitchen bath diy kit help creativity flow much plus whenever big day come upweddings anniversary birthday holiday graduationetsy go destination unique occasion gift etsy app make easy find look save favorite item shop discover want later save time give personalize recommendation future get notify favorite shop add new item favorite item go sale miss special save limited edition chat directly shop owner item customize shop owner quick respond love create something easy buy good swiftly securely use full suite payment option include google pay checkout want order track let know order ship even well deliver etsy spoken around world browse english german french dutch italian spanish polish japanese never well time find something love etsy get app today visit support page http www etsy com help,16,['SHOPPING']
a35,com.yelp.android,yelp million business restaurant review worldwide whether look new pizzeria great coffee shop nearby new salon best handyman town yelp city travel guide find perfect place eat shop drink relax visit play read online review browse photo menu order takeout favorite spot make reservation see hour location important information business look yelp put great local business right fingertip discover new food hot spot place shopping local business near travel home plus order delivery pickup yelp feature local eats find restaurant food delivery near find eat yelp show new hottest top rat place eat bar drink nearby dine local restaurant breakfast lunch dinner get something go order timely food delivery make quick reservation book table order pickup food delivery view restaurant menusall phone read restaurant review yelp user scroll photo help decide go get amaze food deal din delivery place nearby plan dinner reservation trip advance review discover add photo discover local event business service like body shop hair salon look address phone number business near read write review check local business upload photo add tip yelp user browse photo gallery add photo share experience redeem great check offer area sign cash back find shop around get quote hire professional find coolest store top rat body shop complete customer review contact info hire local professional home renovation car repair car transport landscape move hire service get quote professional message contractor nearby book appointment click read million user review recommendation yelp community filter search neighborhood distance rating price location hour operation beauty pamper find highly rat salon spa massage therapist acupuncturists offer around book appointment yelp relax staycation destination find deal travel search filter filter search result neighborhood distance rating price open specific like good group full bar cuisine type etc look address phone number call business order food delivery make quick reservation directly yelp app find top rat food hotel hire service nearby city like new york chicago san francisco los angeles houston phoenix philadelphia feature read million expert user review browse beautiful photo business write read online review check local business order pickup delivery upload photo book appointment find new activity add tip yelp user use yelp travel guide food guide eat drink thing see shop relax need help contact yelp http www yelp support com l en u note continued use gps run dramatically decrease battery life software u code ffmpeg http ffmpeg org license lgplv http www gnu org license old license lgpl html source download http github com yelp ffmpeg android find top local restaurant bar hotel event thing around read customer review order pickup delivery search service near yelp app,17,['FOOD_AND_DRINK']
a41,com.fsck.k9,k mail open source email client support multiple account search imap push email multi folder sync flag filing signature bcc self pgp mime k support imap pop exchange webdav install app openkeychain easy pgp encrypt decrypt email use openpgp k community developed project interested help make popular open source email client android even well please join u find bug tracker source code mail list wiki http github com kmail k always happy welcome new developer designer documenters bug triagers friend trouble k please report bug http github com kmail k rather leave one star review mind tell world frustrate use bug tracker well chance fix whatever give hard time find k release note http bit ly new k,1,['COMMUNICATION']
a43,ru.mail.mailapp,official mail application mail ru convenient mail smartphone android simple fast application simultaneous work several mail ru yandex gmail yahoo hotmail mailbox receive send message share photo document get instantly notify new message adjust time folder service want receive push notification personal spam filter protect annoy mail stay always touch mail ru app know developer respond comment google play therefore request suggestion comment please send via feedback app email mailapps corp mail ru case respond quickly solve problem soon possible multiple account support add box switch easily move work private email simple folder within single mailbox full synchronization matter whether read flag move message computer mobile change save server synchronize device protect folder mail ru app enables store information protect create folder password web interface visible application accessible enter password filter view unread email flag email email attachment search entire mailbox use search engine quickly find email push notification new email notify new message almost instantly android device connect network filter notification set time receive notification select service folder create personal filter receive alert important cache email email store phone memory available without network connection read message view attachment transport example countryside personal spam filter get message service sign unsubscribe tap spam subsequent letter sender automatically sent appropriate folder read important message avatar easy convenient navigate application photo recipient email thread view entire email conversation one screen web version application test compatible android version high,1,['COMMUNICATION']
a44,com.my.mail,mymail manage email account whether hotmail gmail yahoo outlook aol icloud live exchange gmx mymail email client support major mail provider imap pop enable mailbox mymail keep mail securely one place make communication fast light mobile friendly app allows preview read reply forward message well add view attachment need email login password mail app ready use mymail support popular email service google mail gmail microsoft hotmail outlook live yahoo mail aol gmx mail com mail mobile email com mymail automatically set imap pop smtp set host domain include support majority corporate email server lotus note microsoft exchange imap smtp enable key feature real time push notification mail account customise well fit work life schedule navigate easily inbox menu icon contact avatar part conversation search local server contact gmail msn hotmail outlook live search suggestion type browse file directly mail app include attachment create unique email signature organise mailbox flag move spam delete message filter unread email flag email attachment clear layout design activesync protocol support view entire email conversation one screen email thread sign com short new e mail address access exclusive feature yes free add delete label manage folder create filter organise message e g sender email application optimise smartphone tablet email security key priority app u oauth authentication sign hotmail gmail outlook account request user credential instead access user data require directly microsoft google website ensures secure e mail login ew protocol support yet however keep eye future update sign problem occurs device send detail androidmail corp com include email address imap pop smtp email set resolve issue follow mymail find upcoming update cool feature www facebook com mymail official mymail u adchoices information found http facebook com ad ad choice,1,['COMMUNICATION']
a45,park.outlook.sign.in.client,beautiful design intuitive action lightning speed advanced security new powerful email app outlook others quick easy access outlook hotmail account go check email read reply send photo add view attachment stay touch friend family colleague experience new feature manage outlook email phone tablet smartwatch efficient manner choose u timely custom push notification individual email account e g work email address set disturb mode user friendly design think twice whether want flag mark spam delete one multiple email clean tidy inbox contact avatar option enable email thread conversation displayed neatly together convenient search date recipient subject unread flag message attachment help find email flash personalize filter automatically move incoming email specific folder mark read enhance security protect mobile app unauthorized access set pin password application also support major email service add mail one place whether microsoft outlook hotmail msn mail gmail yahoo aol gmx pop imap smtp enable mailbox encounter problem send u email outlook mailapps try best help timely manner important free unofficial outlook email application goal provide excellent mail management product,1,['COMMUNICATION']
a51,anti.tip,,0,['TOOLS']
a52,com.appsbyvir.tipcalculator,tip calculator make task tip waiter waitress simple quick simple layout quick entry format easily calculate bill tip app give ability adjust tip either seekbar personally type one split bill evenly multiple payer single bill,0,['TOOLS']
a53,com.tleapps.simpletipcalculator,simple tip calculator simple app allows user quickly calculate much tip split bill calculate user share result people split bill,0,['PRODUCTIVITY']
a54,com.zaidisoft.teninone,tip calculator plus well thought calculator come simply calculate convert daily basis tip calculator plus include tip calculator percent calculator length converter mass converter cooking converter discount calculator interest calculator unit price calculator body mass index calculator temperature converter,0,['PRODUCTIVITY']
a55,com.jpstudiosonline.tipcalculator,ever need see much gratuity would bill tip calculator great tool find gratuity percentage bill display information screen get gratuity percentage bill cost ability split bill others tip calculator easily get gratuity amount paid total bill party two great split bill amount easy share function built share bill gratuity paid group people via txt email others method,0,['TOOLS']
a11b2,acr.browser.lightning,lightning browser plus simple fast web browser focus design security efficiency u material design track give lot option protect privacy get way user built browser want something well contains free version unlimited open tab custom ad block source control choose default host file local host file remote host file ad block block ad core feature lightning browser meant improve speed security browsing experience design lightning interface carefully craft browse efficiently possible tab bookmark tucked neatly away side drawer swipe away allow maximum screen view minimal interference browser chrome dark mode light mode color mode night mode anyway whatever like mode speed utilize webkit render engine come built android device lightning ensure swift lightweight experience privacy use incognito mode browse without leave footprint download orbot turn tor proxy support mask identify location use startpage duckduckgo search engine disable set think leave risk whatever concern lightning try help feature full screen check adblock check invert render check search engine want check search suggestion bookmark history user agent reading mode whatever need lightning open source android open source lightning believe best software built community come together engineer best solution head repository github contribute translate permission permission internet need access internet browsing permission write external storage need download file backing data permission read external storage need download file restore data permission access fine location need site want location deny location access permission record audio utilized webrtc turn default permission camera utilized webrtc turn default talk twitter http twitter com restainoanthony fork github http github com anthonycr lightning browser,1,['COMMUNICATION']
a13b2,com.stoutner.privacybrowser.standard,way prevent data abuse prevent collect first place privacy browser two primary goal minimize data sent internet minimize data store device browser silently give website massive amount information allows track compromise privacy website ad network use technology like javascript cooky dom storage user agent many thing uniquely identify user track visit across web contrast privacy sensitive feature disabled default privacy browser one technology require website function correctly user may choose turn visit use domain set automatically turn certain feature enter specific website turn leave privacy browser currently u android built webview render web page work best late version webview instal see http www stoutner com privacy browser common set webview x series privacy browser switch fork version android webview call privacy webview allow advanced privacy feature warn android kitkat version x api ship old version openssl susceptible mitm man middle attack browsing website use outdated protocol cipher suite information issue available http www stoutner com kitkat security problem feature integrate easylist ad block tor orbot proxy support ssl certificate pin import export set bookmark,1,['COMMUNICATION']
a14b2,de.baumann.browser,simple browser base android webview base ninja intention provide simple light wight powerful browser nice look user interface nice extra feature full oreo support search site open link background websearch marked text context menu screenshots whole website build file browser open share delete file open link apps example youtube,1,['COMMUNICATION']
a15b2,org.mozilla.focus,browse like one watch new firefox focus automatically block wide range online tracker moment launch second leave easily erase history password cooky get follow thing like unwanted ad private browsing browser comprehensive easy use focus next level privacy free always always side back mozilla non profit fight right web automatic privacy block wide range common web tracker without set set easily era history password cooky tracker browse faster remove tracker ad web page may require less data load faster make mozilla believe everyone control life online fight since,1,['COMMUNICATION']
a21b2,com.rubenroy.minimaltodo,minimal todo light useful app allow add todos easily quickly follow material guideline completely,1,['PRODUCTIVITY']
a22b2,douzifly.list,help people quickly capture mind get reminder later right time include two clear beautiful material design theme make use experience well remote server use data kept device,1,['PRODUCTIVITY']
a23b2,org.secuso.privacyfriendlytodolist,privacy friendly list use keep outstanding task mind organize personal schedule application allows create list task individually manage list contains set task task deadline reminder time list subtasks set reminder time user inform notification possible display task calendar protect app secret pin sort prioritize task within list color indicate urgency task take deadline account feature privacy friendly list pin protection open set menu setup pin protection application pin need number digit ask every time start application start main view reminder set reminder task notify deadline approach set provide possibility enable notification sound widget addition app provide widget add device home screen widget present task belong chosen list click task checkbox lead main view privacy friendly list synchronize button update displayed task inside widget progress subtasks default progress chosen freely user create edit task list give opportunity automatically compute show progress task dependent subtasks therefore go set enable progress subtasks privacy friendly app differs application respect two aspect permission privacy friendly list use permission advertisement privacy friendly list completely relinquishes advertisement many free apps google play store dazzle annoy advertising also shortens battery life privacy friendly checker part privacy friendly apps group developed research group secuso technische universitt darmstadt information http secuso org pfa,1,['TOOLS']
a24b2,kdk.android.simplydo,simply simple shopping todo task list manager,1,['PRODUCTIVITY']
a25b2,com.woefe.Shop,manage shopping list type list list store simple text file use simple human readable syntax allows synchronize device use application syncthing nextcloud,1,['SHOPPING']
a31b2,com.contextlogic.geek,get trend product would pay local store get smartest deal headphone watch speaker phone upgrade car accessory electronics directly phone go directly manufacturer get best deal stuff want get keep sit shop smart take care rest,17,['SHOPPING']
a32b2,com.contextlogic.wish,get basket ready gift love one something special affordable thoughtful gift download away style expensive wish mobile shopping app let shop million high quality item wish affordable wish connects shopper directly million manufacturer shopper find affordable good middle man price low quality get mall buy confidence take security seriously process purchase securely join million user million people use wish shop affordable good skip shopping mall find low price wish review video photo read customer review view photo watch video purchase find best deal track track purchase customer support question order reach customer service easily app customer service responds quickly day return policy plus perfect day return policy save brand offer brand affordable price wish outlet find discount apple samsonite burberry coach michael kor ray ban fossil guess tommy hilfiger champion sperry day shipping get faster shipping wish express item wish express truck icon arrive door day save big spin blitz buy win save spin blitz buy win access extra discount earn reward collect point purchase redeem reward coupon category find discount trendy fashion shoe gadget kitchen tool home good kid item beauty jewelry watch accessory skip mall shop phone trendy woman fashion dress jacket bottom top sweater athleisure swimwear lingerie quality men fashion jacket sweater jean shirt button top workout wear underwear accessory hat sock scarf belt jewelry watch gym bag travel bag purse backpack electronics fitness tracker camera drone phone case battery pack headphone gadget beauty brush skincare perfume lipstick eyeshadow foundation shoe sneaker run shoe boot sandal heel home good kitchen tool cookware knife trendy home decor light sheet furniture kid clothes toy school supply baby gear sport exercise gear weight soccer basketball men workout clothes woman athleisure auto organizer cleaner phone charger wish w logo trademark contextlogic inc register u patent trademark office country right reserve,5,['SHOPPING']
a33b2,com.rainbowshops,rainbow shop fashion retailer location united state puerto rico u virgin island online rainbowshops com affordable clothing shoe accessory woman junior plus size kid everyday low price need wait sale size inclusive trendy clothing woman junior xl plus size x x everything need complete outfit affordable accessory trendy shoe size everyday free shipping order coupon code need free return store visit u daily new affordable clothing style add website every day love need help drop u line customerservice rainbowshops com meantime get shop remember show u style rainbowshops,5,['SHOPPING']
a34b2,com.etsy.android,etsy app let shop million one kind item straight phone tablet whether moment big small handmade good vintage good creative good custom goodsthere something everyone creative marketplace quite like etsy app purchase perfect gift friend family co worker even get little something etsy app incredibly easy explore delightful personalize unique item want browse curated collection handcraft jewelry vintage good closet customize furniture home everyday supply kitchen bath diy kit help creativity flow much plus whenever big day come upweddings anniversary birthday holiday graduationetsy go destination unique occasion gift etsy app make easy find look save favorite item shop discover want later save time give personalize recommendation future get notify favorite shop add new item favorite item go sale miss special save limited edition chat directly shop owner item customize shop owner quick respond love create something easy buy good swiftly securely use full suite payment option include google pay checkout want order track let know order ship even well deliver etsy spoken around world browse english german french dutch italian spanish polish japanese never well time find something love etsy get app today visit support page http www etsy com help,16,['SHOPPING']
a35b2,com.yelp.android,yelp million business restaurant review worldwide whether look new pizzeria great coffee shop nearby new salon best handyman town yelp city travel guide find perfect place eat shop drink relax visit play read online review browse photo menu order takeout favorite spot make reservation see hour location important information business look yelp put great local business right fingertip discover new food hot spot place shopping local business near travel home plus order delivery pickup yelp feature local eats find restaurant food delivery near find eat yelp show new hottest top rat place eat bar drink nearby dine local restaurant breakfast lunch dinner get something go order timely food delivery make quick reservation book table order pickup food delivery view restaurant menusall phone read restaurant review yelp user scroll photo help decide go get amaze food deal din delivery place nearby plan dinner reservation trip advance review discover add photo discover local event business service like body shop hair salon look address phone number business near read write review check local business upload photo add tip yelp user browse photo gallery add photo share experience redeem great check offer area sign cash back find shop around get quote hire professional find coolest store top rat body shop complete customer review contact info hire local professional home renovation car repair car transport landscape move hire service get quote professional message contractor nearby book appointment click read million user review recommendation yelp community filter search neighborhood distance rating price location hour operation beauty pamper find highly rat salon spa massage therapist acupuncturists offer around book appointment yelp relax staycation destination find deal travel search filter filter search result neighborhood distance rating price open specific like good group full bar cuisine type etc look address phone number call business order food delivery make quick reservation directly yelp app find top rat food hotel hire service nearby city like new york chicago san francisco los angeles houston phoenix philadelphia feature read million expert user review browse beautiful photo business write read online review check local business order pickup delivery upload photo book appointment find new activity add tip yelp user use yelp travel guide food guide eat drink thing see shop relax need help contact yelp http www yelp support com l en u note continued use gps run dramatically decrease battery life software u code ffmpeg http ffmpeg org license lgplv http www gnu org license old license lgpl html source download http github com yelp ffmpeg android find top local restaurant bar hotel event thing around read customer review order pickup delivery search service near yelp app,17,['FOOD_AND_DRINK']
a41b2,com.fsck.k9,k mail open source email client support multiple account search imap push email multi folder sync flag filing signature bcc self pgp mime k support imap pop exchange webdav install app openkeychain easy pgp encrypt decrypt email use openpgp k community developed project interested help make popular open source email client android even well please join u find bug tracker source code mail list wiki http github com kmail k always happy welcome new developer designer documenters bug triagers friend trouble k please report bug http github com kmail k rather leave one star review mind tell world frustrate use bug tracker well chance fix whatever give hard time find k release note http bit ly new k,1,['COMMUNICATION']
a43b2,ru.mail.mailapp,official mail application mail ru convenient mail smartphone android simple fast application simultaneous work several mail ru yandex gmail yahoo hotmail mailbox receive send message share photo document get instantly notify new message adjust time folder service want receive push notification personal spam filter protect annoy mail stay always touch mail ru app know developer respond comment google play therefore request suggestion comment please send via feedback app email mailapps corp mail ru case respond quickly solve problem soon possible multiple account support add box switch easily move work private email simple folder within single mailbox full synchronization matter whether read flag move message computer mobile change save server synchronize device protect folder mail ru app enables store information protect create folder password web interface visible application accessible enter password filter view unread email flag email email attachment search entire mailbox use search engine quickly find email push notification new email notify new message almost instantly android device connect network filter notification set time receive notification select service folder create personal filter receive alert important cache email email store phone memory available without network connection read message view attachment transport example countryside personal spam filter get message service sign unsubscribe tap spam subsequent letter sender automatically sent appropriate folder read important message avatar easy convenient navigate application photo recipient email thread view entire email conversation one screen web version application test compatible android version high,1,['COMMUNICATION']
a44b2,com.my.mail,mymail manage email account whether hotmail gmail yahoo outlook aol icloud live exchange gmx mymail email client support major mail provider imap pop enable mailbox mymail keep mail securely one place make communication fast light mobile friendly app allows preview read reply forward message well add view attachment need email login password mail app ready use mymail support popular email service google mail gmail microsoft hotmail outlook live yahoo mail aol gmx mail com mail mobile email com mymail automatically set imap pop smtp set host domain include support majority corporate email server lotus note microsoft exchange imap smtp enable key feature real time push notification mail account customise well fit work life schedule navigate easily inbox menu icon contact avatar part conversation search local server contact gmail msn hotmail outlook live search suggestion type browse file directly mail app include attachment create unique email signature organise mailbox flag move spam delete message filter unread email flag email attachment clear layout design activesync protocol support view entire email conversation one screen email thread sign com short new e mail address access exclusive feature yes free add delete label manage folder create filter organise message e g sender email application optimise smartphone tablet email security key priority app u oauth authentication sign hotmail gmail outlook account request user credential instead access user data require directly microsoft google website ensures secure e mail login ew protocol support yet however keep eye future update sign problem occurs device send detail androidmail corp com include email address imap pop smtp email set resolve issue follow mymail find upcoming update cool feature www facebook com mymail official mymail u adchoices information found http facebook com ad ad choice,1,['COMMUNICATION']
a45b2,park.outlook.sign.in.client,beautiful design intuitive action lightning speed advanced security new powerful email app outlook others quick easy access outlook hotmail account go check email read reply send photo add view attachment stay touch friend family colleague experience new feature manage outlook email phone tablet smartwatch efficient manner choose u timely custom push notification individual email account e g work email address set disturb mode user friendly design think twice whether want flag mark spam delete one multiple email clean tidy inbox contact avatar option enable email thread conversation displayed neatly together convenient search date recipient subject unread flag message attachment help find email flash personalize filter automatically move incoming email specific folder mark read enhance security protect mobile app unauthorized access set pin password application also support major email service add mail one place whether microsoft outlook hotmail msn mail gmail yahoo aol gmx pop imap smtp enable mailbox encounter problem send u email outlook mailapps try best help timely manner important free unofficial outlook email application goal provide excellent mail management product,1,['COMMUNICATION']
a51b2,anti.tip,,0,['TOOLS']
a52b2,com.appsbyvir.tipcalculator,tip calculator make task tip waiter waitress simple quick simple layout quick entry format easily calculate bill tip app give ability adjust tip either seekbar personally type one split bill evenly multiple payer single bill,0,['TOOLS']
a53b2,com.tleapps.simpletipcalculator,simple tip calculator simple app allows user quickly calculate much tip split bill calculate user share result people split bill,0,['PRODUCTIVITY']
a54b2,com.zaidisoft.teninone,tip calculator plus well thought calculator come simply calculate convert daily basis tip calculator plus include tip calculator percent calculator length converter mass converter cooking converter discount calculator interest calculator unit price calculator body mass index calculator temperature converter,0,['PRODUCTIVITY']
a55b2,com.jpstudiosonline.tipcalculator,ever need see much gratuity would bill tip calculator great tool find gratuity percentage bill display information screen get gratuity percentage bill cost ability split bill others tip calculator easily get gratuity amount paid total bill party two great split bill amount easy share function built share bill gratuity paid group people via txt email others method,0,['TOOLS']
